Begriff;Entsorgungsart
Pappschachtel ;Papiertonne
Poster ;Papiertonne
Postpaket ;Papiertonne
Schreibpapier ;Papiertonne
Schulhefte ;Papiertonne
Taschenbücher ;Papiertonne
Toilettenpapierrollen ;Papiertonne
Umzugskartons ;Papiertonne
Vogelfutterschachtel ;Papiertonne
Waschmittelkarton ;Papiertonne
Zeitschriften ;Papiertonne
Aqua;Restmülltonne
Eiskugelfo;Restmülltonne
Ablagekörbe ;Restmülltonne
Agrarfolien ;Restmülltonne
Alu-Brennschale - Kerze ;Restmülltonne
Aschenbecher ;Restmülltonne
Babyflaschen ;Restmülltonne
Backförmchen ;Restmülltonne
Bandage ;Restmülltonne
Bauholz Bauschutt, Kleinmenge ;Restmülltonne
Besteckkasten ;Restmülltonne
Binden ;Restmülltonne
Bleikristall ;Restmülltonne
Brillen ;Restmülltonne
Brotkasten ;Restmülltonne
Büroablage ;Restmülltonne
Butterbrotpapier ;Restmülltonne
CD's ;Restmülltonne
Damenstrumpfhose ;Restmülltonne
Disketten ;Restmülltonne
Druckerpatronen ;Restmülltonne
DVD´s ;Restmülltonne
Einmalhandschuhe ;Restmülltonne
Einweggeschirr ;Restmülltonne
Essstäbchen ;Restmülltonne
Farbbänder ;Restmülltonne
Felle ;Restmülltonne
Filzbelag ;Restmülltonne
Frisbee ;Restmülltonne
Fusselrolle ;Restmülltonne
Gartenschlauch ;Restmülltonne
Geschenkkordel ;Restmülltonne
Grablicht ;Restmülltonne
Grillschalen ;Restmülltonne
Gummistiefel ;Restmülltonne
Haarklammer ;Restmülltonne
Handtücher ;Restmülltonne
Helm ;Restmülltonne
Hundedecke ;Restmülltonne
Hut ;Restmülltonne
Inkontinenzwindeln ;Restmülltonne
Isomatte ;Restmülltonne
Kaffeekapseln (befüllt) ;Restmülltonne
Kassenzettel (Thermo- Papier) ;Restmülltonne
Kehricht ;Restmülltonne
Kerzenglas ;Restmülltonne
Klappbox ;Restmülltonne
Klebstoffe (ausgehärtet) ;Restmülltonne
Kochlöffel ;Restmülltonne
Korbwaren ;Restmülltonne
Kostmetiktuch ;Restmülltonne
Kugelschreiber ;Restmülltonne
Kunststoffspielzeug ;Restmülltonne
Legosteine ;Restmülltonne
Luftballons ;Restmülltonne
Magnet ;Restmülltonne
Malstifte ;Restmülltonne
Mikrowellengeschier ;Restmülltonne
Muffinblech ;Restmülltonne
Negative ;Restmülltonne
Oelpapier ;Restmülltonne
Papierkorb (geflochten) ;Restmülltonne
Pergamentpapier ;Restmülltonne
Pflaster ;Restmülltonne
Plasikschüssel ;Restmülltonne
Plastikspielzeug ;Restmülltonne
Polstermaterial ;Restmülltonne
Putzeimer ;Restmülltonne
Radiergummi ;Restmülltonne
Rasierklinge ;Restmülltonne
Röntgenbilder ;Restmülltonne
Salatschleuder ;Restmülltonne
Schallplatten ;Restmülltonne
Scheibenwischer ;Restmülltonne
Schmutzfangmatte ;Restmülltonne
Schnüre ;Restmülltonne
Schuhpflegemittel (ausgehärtet) ;Restmülltonne
Schwangerschaftstest ;Restmülltonne
Servietten ;Restmülltonne
Sitzerhöhung ;Restmülltonne
Spachtelmasse (ausgehärtet) ;Restmülltonne
Spielball ;Restmülltonne
Staubwischer ;Restmülltonne
Streusplitt ;Restmülltonne
Tabletten ;Restmülltonne
Taschenlampe ;Restmülltonne
Teelichter ;Restmülltonne
Telefonkarten ;Restmülltonne
Teppichkleber (fest) ;Restmülltonne
