Begriff;Entsorgungsart
Flakon (Parfüm) ;gelbe Tonne
Flaschenverschluss ;gelbe Tonne
Fleischverpackung ;gelbe Tonne
Folien;gelbe Tonne
Frischhaltefolie ;gelbe Tonne
Frischkäseverpackung ;gelbe Tonne
Fruchtgummiverpackung ;gelbe Tonne
Fruchtzwergbecher ;gelbe Tonne
Frühstückscerealienverpackung (Folie) ;gelbe Tonne
Garnspuhlen ;gelbe Tonne
Gaskartusche (leer) ;gelbe Tonne
Gemüsebrühpulververpackung (Alufolie) ;gelbe Tonne
Gemüsekonserven ;gelbe Tonne
Gemüsesaft (Tüte) ;gelbe Tonne
Geschirrspülreinigertapsverpackung (Folie) ;gelbe Tonne
Getränkedosen (Einweg) ;gelbe Tonne
Getränkekanister ;gelbe Tonne
Getränkekartons ;gelbe Tonne
Getränketrägerumverpackung (Plastik) ;gelbe Tonne
Gewürzdosen ;gelbe Tonne
Glasreinigerflasche ;gelbe Tonne
Grillfleischverpackung (Folie) ;gelbe Tonne
Grillfleischverpackung (Plastik) ;gelbe Tonne
Grillsoßen (Plastik) ;gelbe Tonne
Gummibärchentüte ;gelbe Tonne
Haargeltube ;gelbe Tonne
Haarspraydose ;gelbe Tonne
Hackfleischverpackung ;gelbe Tonne
Hamburgerverpackung ;gelbe Tonne
Handseifespender (Einweg) ;gelbe Tonne
Hängeetikett ;gelbe Tonne
Hanuta Verpackung ;gelbe Tonne
Haushaltsflaschen (Plastik) ;gelbe Tonne
Hefeverpackung (Alu/Folie) ;gelbe Tonne
Holzschachtel (Verkaufsverpackung) ;gelbe Tonne
Holzwolle (Verpackungsmaterial) ;gelbe Tonne
Honigflasche ;gelbe Tonne
Hundefutterdosen ;gelbe Tonne
Hundefutterverpackung (Aluminium) ;gelbe Tonne
Hundefutterverpackung (Kunststoff) ;gelbe Tonne
Ice-Tea Verpackung ;gelbe Tonne
Infussionsbeutel (leer) ;gelbe Tonne
Insektenschutzflasche ;gelbe Tonne
Instandkaffedose ;gelbe Tonne
Instandkaffeverpackung (Folie) ;gelbe Tonne
Joghurtbecher ;gelbe Tonne
Joghurtbecherdeckel ;gelbe Tonne
Joghurtdrinkverpackung ;gelbe Tonne
Kabelbinder ;gelbe Tonne
Kaffee to go Becher ;gelbe Tonne
Kaffeebecher (Einweg) ;gelbe Tonne
Kaffeebohnenverpackung ;gelbe Tonne
Kaffeekapseln (entleert) ;gelbe Tonne
Kaffeesahnedöschen ;gelbe Tonne
Kaffeevakuumverpackung ;gelbe Tonne
Kaffeverpackung (Folie) ;gelbe Tonne
Kakaopulverdose (beschichtet) ;gelbe Tonne
Kakaopulverdose (Plastik) ;gelbe Tonne
Kanister (Getränke) ;gelbe Tonne
Kartoffelsack (Kunststoff) ;gelbe Tonne
