Begriff;Entsorgungsart
Kirschkernkissen ;Restmülltonne
Klappbox ;Restmülltonne
Klarsichtfolie ;Restmülltonne
Klarsichthüllen ;Restmülltonne
Klebeband ;Restmülltonne
Klebstoffe (ausgehärtet) ;Restmülltonne
Kleiderbügel ;Restmülltonne
Kleintiermist ;Restmülltonne
Kleintierstreu ;Restmülltonne
Kochlöffel ;Restmülltonne
Kochtöpfe ;Restmülltonne
Kopfkissen ;Restmülltonne
Kopfkissenbezüge ;Restmülltonne
Korbwaren ;Restmülltonne
Korkplatten ;Restmülltonne
Korrekturroller ;Restmülltonne
Kosmetika ;Restmülltonne
Kostmetiktuch ;Restmülltonne
Küchenmesser ;Restmülltonne
Küchenpapier ;Restmülltonne
Küchenwaage (mechanisch) ;Restmülltonne
Kugelschreiber ;Restmülltonne
Kühlakku ;Restmülltonne
Kühltasche ;Restmülltonne
Kunststoffeimer ;Restmülltonne
Kunststoffspielzeug ;Restmülltonne
Lacke (ausgehärtet) ;Restmülltonne
Lametta ;Restmülltonne
Lederreste ;Restmülltonne
Legosteine ;Restmülltonne
Leim (ausgehärtet) ;Restmülltonne
Lichtschalterabdeckung ;Restmülltonne
Lockenwickler ;Restmülltonne
Luftballons ;Restmülltonne
Luftmatratze ;Restmülltonne
Lumpen ;Restmülltonne
Lutscherstiele ;Restmülltonne
Magnet ;Restmülltonne
Magnetbänder ;Restmülltonne
Magnettafel ;Restmülltonne
Malkasten ;Restmülltonne
Malstifte ;Restmülltonne
Medikamente ;Restmülltonne
Messer ;Restmülltonne
Messerblock ;Restmülltonne
Mikrowellengeschier ;Restmülltonne
Mineralfarben (lösemittelfrei) ;Restmülltonne
Montageschaum (ausgehärtet) ;Restmülltonne
Mousepad ;Restmülltonne
Muffinblech ;Restmülltonne
Multizerkleinerer (mechanisch) ;Restmülltonne
Musikkassetten ;Restmülltonne
Nagelfeile ;Restmülltonne
Negative ;Restmülltonne
Nudelsieb ;Restmülltonne
Nylonstrumpfhose ;Restmülltonne
Ohrenstäbchen ;Restmülltonne
Oelpapier ;Restmülltonne
Ordner ;Restmülltonne
Pampers ;Restmülltonne
Papierhandtücher ;Restmülltonne
Papierkorb (geflochten) ;Restmülltonne
Papierservierten ;Restmülltonne
Papiertischdecken (verschmutz) ;Restmülltonne
Pausenbrotbox ;Restmülltonne
Pergamentpapier ;Restmülltonne
Pfanne ;Restmülltonne
Pflanzenroller ;Restmülltonne
Pflanzkübel ;Restmülltonne
Pflaster ;Restmülltonne
Photoabzüge ;Restmülltonne
Pinsel ;Restmülltonne
Planschbecken ;Restmülltonne
Plasikschüssel ;Restmülltonne
Plastikbesteck ;Restmülltonne
Plastikeimer ;Restmülltonne
Plastikkorb ;Restmülltonne
Plastikspielzeug ;Restmülltonne
Playmobilspielzeug ;Restmülltonne
Plexiglas ;Restmülltonne
Plissee(klein) ;Restmülltonne
Polstermaterial ;Restmülltonne
Porzellan ;Restmülltonne
Produktaufsteller ;Restmülltonne
Puppe ;Restmülltonne
Putzeimer ;Restmülltonne
Putzlappen ;Restmülltonne
Putztuch ;Restmülltonne
Puzzel ;Restmülltonne
Radiergummi ;Restmülltonne
Radkappen ;Restmülltonne
Radzierblenden ;Restmülltonne
Rasierer ;Restmülltonne
Rasierklinge ;Restmülltonne
Regenschirm ;Restmülltonne
Reservekanister ;Restmülltonne
Rigips ;Restmülltonne
Röntgenbilder ;Restmülltonne
Ruß ;Restmülltonne
Saftpresse (mechanisch) ;Restmülltonne
Salatbesteck ;Restmülltonne
Salatschleuder ;Restmülltonne
Salatschüssel ;Restmülltonne
Salben ;Restmülltonne
Sanspielzeug ;Restmülltonne
Schallplatten ;Restmülltonne
Schaniere ;Restmülltonne
Schaumgummi ;Restmülltonne
Schaumstoff ;Restmülltonne
Scheibenwischer ;Restmülltonne
Scherben ;Restmülltonne
Schere ;Restmülltonne
Schlüssel ;Restmülltonne
Schmutzfangmatte ;Restmülltonne
Schnellhefter ;Restmülltonne
Schnorchel ;Restmülltonne
Schnuller ;Restmülltonne
Schnüre ;Restmülltonne
Schrauben ;Restmülltonne
Schreibgeräte ;Restmülltonne
Schreibmaschine ;Restmülltonne
Schuhpflegemittel (ausgehärtet) ;Restmülltonne
Schuhregal (klein) ;Restmülltonne
Schwämme ;Restmülltonne
Schwammtücher ;Restmülltonne
Schwangerschaftstest ;Restmülltonne
Seife ;Restmülltonne
Sektglas ;Restmülltonne
Serviertablett ;Restmülltonne
Servietten ;Restmülltonne
Sieb ;Restmülltonne
Silikonkartusche (ausgetrocknet) ;Restmülltonne
Silikonpresse ;Restmülltonne
Sitzerhöhung ;Restmülltonne
Sitzkissen ;Restmülltonne
Slipeinlagen ;Restmülltonne
Snappacks - SD-Karten ;Restmülltonne
Spachtelmasse (ausgehärtet) ;Restmülltonne
Spanplatten ;Restmülltonne
Spaten ;Restmülltonne
Spiegel (klein) ;Restmülltonne
Spielball ;Restmülltonne
Spielzeug ;Restmülltonne
Spritzen ;Restmülltonne
Staubsaugerbeutel ;Restmülltonne
Staubwischer ;Restmülltonne
Steckdosenabdeckung ;Restmülltonne
Steingut ;Restmülltonne
Straßenkehricht ;Restmülltonne
Streusplitt ;Restmülltonne
Strohhalm ;Restmülltonne
Strumpfhosen ;Restmülltonne
Suppenkelle ;Restmülltonne
Tabletten ;Restmülltonne
Tampons ;Restmülltonne
Tapeten ;Restmülltonne
Tapetenkleister ;Restmülltonne
Taschenlampe ;Restmülltonne
Taschentücher ;Restmülltonne
Tassen ;Restmülltonne
Taucherbrille ;Restmülltonne
Teelichter ;Restmülltonne
Teelichthülsen ;Restmülltonne
Teichfolie ;Restmülltonne
Telefaxpapier (beschichtet) ;Restmülltonne
Telefonkarten ;Restmülltonne
Teller (Glas/Prozelan) ;Restmülltonne
Tennisball ;Restmülltonne
Tennisschläger ;Restmülltonne
Teppichkleber (fest) ;Restmülltonne
Tesafilmroller ;Restmülltonne
Textmarker ;Restmülltonne
Thermometer (alkoholhaltig) ;Restmülltonne
Thermopapier ;Restmülltonne
Thermoskanne ;Restmülltonne
Tierkot ;Restmülltonne
Tierstreu ;Restmülltonne
Tinte ;Restmülltonne
Tintenpatrone ;Restmülltonne
Tischdecke ;Restmülltonne
Tischtennisball ;Restmülltonne
Tischtennisschläger ;Restmülltonne
Toilettenbürste ;Restmülltonne
Toilettendeckel ;Restmülltonne
Toilettentücher (feucht) ;Restmülltonne
Tonbänder ;Restmülltonne
Tonerkartuschen (leer) ;Restmülltonne
Tontöpfe ;Restmülltonne
Trinkflasche (Plastik, Mehrweg) ;Restmülltonne
Trinkglas ;Restmülltonne
Trinkhalm ;Restmülltonne
Tritthocker ;Restmülltonne
Tupperware ;Restmülltonne
Türgarderobe ;Restmülltonne
Türstopper ;Restmülltonne
Uhren (mechanisch) ;Restmülltonne
Urlinbeutel ;Restmülltonne
Vase ;Restmülltonne
Verbandskasten ;Restmülltonne
Verbandsmaterial ;Restmülltonne
Videokassette ;Restmülltonne
Vitaminpräperate ;Restmülltonne
Vogelsand ;Restmülltonne
Vorzelt ;Restmülltonne
Wachse ;Restmülltonne
Wachspapier ;Restmülltonne
Wachstücher ;Restmülltonne
Wandfarbe (getrocknet) ;Restmülltonne
Wärmflaschen ;Restmülltonne
Wäscheklammer ;Restmülltonne
Waschschüssel ;Restmülltonne
Wasserball ;Restmülltonne
Wasserfilter ;Restmülltonne
Wasserfilterkartusche ;Restmülltonne
Wasserhahn ;Restmülltonne
Wasserpistole ;Restmülltonne
Wasserschlauch ;Restmülltonne
Wasserspritzpistole ;Restmülltonne
Wassersprudler ;Restmülltonne
Watte ;Restmülltonne
Wattepads ;Restmülltonne
Wattestäbchen ;Restmülltonne
Wecker (mechanisch) ;Restmülltonne
Weihnachtsbaumkugel ;Restmülltonne
Werkzeug (mechanisch) ;Restmülltonne
Werkzeugkoffer ;Restmülltonne
Windeln ;Restmülltonne
Wischerblätter ;Restmülltonne
Wischmopp ;Restmülltonne
Wolldecken ;Restmülltonne
Wolle ;Restmülltonne
Wurstpelle ;Restmülltonne
Zahnbürste ;Restmülltonne
Zahnseide ;Restmülltonne
Zelt ;Restmülltonne
Zelthering ;Restmülltonne
Zementfarbe ;Restmülltonne
Ziegel (kleinmengen) ;Restmülltonne
Zitruspresse ;Restmülltonne
Zündkerze ;Restmülltonne
Rollstuhl (mechanisch) ;Sperrmül
Babywanne ;Sperrmüll
Backblech ;Sperrmüll
Bettfedern ;Sperrmüll
Bettgestell ;Sperrmüll
Bilderrahmen (groß) ;Sperrmüll
Bügelbrett ;Sperrmüll
Buggy ;Sperrmüll
Campingmöbel ;Sperrmüll
Couch ;Sperrmüll
Couchtisch ;Sperrmüll
Drahtzaun ;Sperrmüll
Eisenteile ;Sperrmüll
Fahrrad ;Sperrmüll
Fernsehantenne ;Sperrmüll
Fußbodenbeläge (rollbar) ;Sperrmüll
Garderobe ;Sperrmüll
Gartengrill ;Sperrmüll
Gartenkissenbox ;Sperrmüll
Gartenstuhl ;Sperrmüll
Gartentisch ;Sperrmüll
Gartenzaun (unbehandelt) ;Sperrmüll
Gasgrill ;Sperrmüll
Grill ;Sperrmüll
Hohlkammerplatte ;Sperrmüll
Holzliegestuhl ;Sperrmüll
Holzspielzeug (groß) ;Sperrmüll
Hundekorb ;Sperrmüll
Jalousien ;Sperrmüll
Katzentoilette ;Sperrmüll
Kinderbett ;Sperrmüll
Kinderroller ;Sperrmüll
Kinderschaukelgerüst ;Sperrmüll
Kindersitz ;Sperrmüll
Kinderwagen ;Sperrmüll
Kinderwippe ;Sperrmüll
Klappstuhl ;Sperrmüll
Kleiderständer ;Sperrmüll
Kleintierkäfig ;Sperrmüll
Koffer ;Sperrmüll
Kommode ;Sperrmüll
Kratzbaum ;Sperrmüll
Kratzbaum ;Sperrmüll
Küchenschränke ;Sperrmüll
Küchenspüle ;Sperrmüll
Kugelgrill ;Sperrmüll
Kühlbox ;Sperrmüll
Kunststoffrasen ;Sperrmüll
Lattenrost ;Sperrmüll
Läufer ;Sperrmüll
Leiter ;Sperrmüll
Maschendrahtzaun ;Sperrmüll
Matratzen ;Sperrmüll
Möbel ;Sperrmüll
Nähmaschine (mechanisch) ;Sperrmüll
Pavillon ;Sperrmüll
Plissee(gross) ;Sperrmüll
Polstermöbel ;Sperrmüll
Rasenteppiche ;Sperrmüll
Räucherofen ;Sperrmüll
Regale ;Sperrmüll
Regentonne ;Sperrmüll
Rollmatratze ;Sperrmüll
Rutsche (klein) ;Sperrmüll
Sandkasten ;Sperrmüll
Sandmuschel ;Sperrmüll
Satellitenschüssel ;Sperrmüll
Schaukelstuhl ;Sperrmüll
Schlauchboot ;Sperrmüll
Schlitten ;Sperrmüll
Schrank ;Sperrmüll
Schreibtisch ;Sperrmüll
Schreibtischstuhl ;Sperrmüll
Schubkarre ;Sperrmüll
Schuhregal (gross) ;Sperrmüll
Schuhregal (groß) ;Sperrmüll
Schulranzen ;Sperrmüll
Sessel ;Sperrmüll
Sitzsack (entleert) ;Sperrmüll
Ski ;Sperrmüll
Snowboard ;Sperrmüll
Sofa ;Sperrmüll
Sonnenschirm ;Sperrmüll
Spiegel (groß) ;Sperrmüll
Spiegelglas ;Sperrmüll
Spielhaus ;Sperrmüll
Spülbecken ;Sperrmüll
Stacheldraht ;Sperrmüll
Stepper ;Sperrmüll
Strandmuschel ;Sperrmüll
Stühle ;Sperrmüll
Surfbrett ;Sperrmüll
Tapeziertisch ;Sperrmüll
Teleskop ;Sperrmüll
Teppichböden ;Sperrmüll
Terrarium ;Sperrmüll
Tierstransportbox ;Sperrmüll
Tisch ;Sperrmüll
Tischtennisplatte ;Sperrmüll
Trampolin ;Sperrmüll
Trolley ;Sperrmüll
Vogelkäfig ;Sperrmüll
Vorhangschienen ;Sperrmüll
Wandregal ;Sperrmüll
Wäschekorb ;Sperrmüll
Wäschespinne ;Sperrmüll
Wäscheständer ;Sperrmüll
Wickeltisch ;Sperrmüll
